iter	Passed	Remaining
157	5036	10900
158	5064	10860
159	5089	10816
160	5116	10773
161	5143	10731
162	5171	10692
163	5204	10662
164	5237	10633
165	5265	10595
1166	5237	104431167	5325	105251168	5403	10583
169	5450	10580
170	5533	10646
171	5583	10647
172	5621	10624
173	5658	10601
174	5692	10571
175	5721	10531
176	5748	10490
177	5780	10457
178	5810	10419
179	5839	103811180	5869	103441181	5899	10307
182	5927	102671183	5959	10235
184	5984	10190
185	6005	10137
186	6032	10096
187	6057	10053
188	6084	10012
189	6111	99711190	6136	99281191	6166	98921192	6197	98581193	6224	98181194	6256	97861195	6287	97511196	6316	97151197	6347	96811198	6378	96481199	6406	96102200	6436	95742201	6466	95392202	6493	95002203	6520	94602204	6552	94292205	6577	93872206	6604	93472207	6633	93122208	6667	92832209	6698	92502210	6734	92242211	6774	92032212	6803	91672213	6844	91472214	6881	91212215	6915	90922216	6945	90582217	6974	90222218	7003	89862219	7033	89522220	7068	89222221	7104	88962222	7145	88762223	7179	88462224	7225	88312225	7287	88352226	7338	88252227	7367	87882228	7397	87542229	7429	87212230	7458	86852231	7485	86472232	7513	86102233	7544	85762234	7576	85432235	7603	85052236	7633	84712237	7664	84372238	7695	84042239	7719	83632240	7752	83302241	7778	82922242	7811	8261
243	7844	8229
244	7870	8191
245	7902	8159
246	7935	8128
247	7969	8097
248	8002	8066
249	8029	8029
250	8065	8000
251	8101	7972
252	8145	7952
253	8180	7922
254	8209	7887
255	8237	7851
256	8266	7816
257	8292	7777
258	8322	7743
259	8347	7705
260	8375	7669
261	8406	7636
262	8440	7605
263	8466	7568
264	8495	7534
265	8523	7498
266	8556	7466
267	8583	7430
268	8613	7396
269	8646	7365
270	8674	7329
271	8701	7294
272	8728	7258
273	8759	7224
274	8789	7191
275	8817	7156
276	8849	7124
277	8883	7094
278	8911	7059
279	8940	7024
280	8969	6990
281	8995	6954
282	9027	6922
283	9068	6897
284	9095	6861
285	9120	6824
286	9149	6790
287	9181	6758
288	9206	6721
289	9241	6692
290	9271	6658
291	9316	6636
292	9359	6612
293	9388	6578
294	9417	6544
295	9446	6510
296	9475	6476
297	9502	6441
298	9528	6405
299	9555	6370
300	9585	6336
301	9615	6304
302	9646	6271
303	9682	6242
304	9713	6210
305	9741	6176
306	9772	6143
307	9802	6110
308	9827	6074
309	9858	6042
310	9881	6005
311	9911	5972
312	9936	5936
313	9966	5903
314	9994	5869
315	10008	5828
316	10021	5785
317	10037	5744
318	10066	5711
319	10102	5682
320	10129	5648
321	10155	5613
322	10189	5583
323	10229	5556
324	10255	5522
325	10284	5489
326	10312	5455
327	10335	5419
328	10365	5387
329	10393	5353
330	10434	5327
331	10478	5302
332	10525	5278
333	10571	5254
334	10610	5225
335	10644	5195
336	10670	5160
337	10698	5127
338	10725	5093
339	10749	5058
340	10779	5026
341	10809	4993
342	10845	4964
343	10871	4929
344	10900	4897
345	10930	4865
346	10961	4833
347	10997	4803
348	11022	4769
349	11049	4735
350	11076	4701
351	11106	4669
352	11134	4636
353	11162	4603
354	11193	4572
355	11213	4535
356	11242	4503
357	11271	4470
358	11304	4440
359	11333	4407
360	11355	4372
361	11372	4335
362	11402	4303
363	11431	4271
364	11469	4242
365	11499	4210
366	11589	4200
367	11617	4167
368	11654	4137
369	11684	4105
370	11716	4074
371	11746	4041
372	11775	4009
373	11812	3979
374	11853	3951
375	11886	3920
376	11923	3890
377	11952	3857
378	11982	3825
379	12009	3792
380	12037	3759
381	12062	3726
382	12089	3693
383	12120	3661
384	12146	3628
385	12172	3594
386	12202	3563
387	12230	3530
388	12258	3497
389	12290	3466
390	12323	3435
391	12354	3403
392	12381	3371
393	12406	3337
394	12434	3305
395	12462	3272
396	12486	3239
397	12515	3207
398	12545	3175
399	12572	3143
400	12597	3110
401	12623	3077
402	12654	3045
403	12677	3012
404	12698	2978
405	12714	2943
406	12733	2909
407	12762	2877
408	12791	2846
409	12823	2814
410	12854	2783
411	12883	2751
412	12910	2719
413	12947	2689
414	12987	2660
415	13021	2629
416	13064	2600
417	13107	2571
